Symbol;date time;open;high;low;close;close5;close10;close15;AC;AD;AO;ATR;BEP;BUP;DMK;FORCE;FRACTAL;ICHIMOKU;BWMFI;Momentum_GAP;MA;OsMA;MACD_GAP;OBV;SAR;RSI;RVI;STDDEV;Stochastic_GAP;WPR
XAUUSD_15;2022.11.01 17:45;1647.17700;1649.24800;1646.89700;1649.15400;1644.67800;1645.14300;1644.74800;0.81754;2122003.07933;-2.89434;2.61736;0.18126;2.53226;0.77877;260.90031;0.00000;1646.85850;2.40389;0.52086;6.87952;1647.98621;0.23821;0.48600;-737286.00000;1643.26156;56.92432;0.07536;1.80092;24.41135
XAUUSD_15;2022.11.01 18:00;1649.12100;1651.09800;1649.09000;1650.91000;1645.00600;1643.58200;1645.62000;1.39985;2122871.90802;-1.83427;2.46679;1.77508;3.78308;0.80741;456.38077;0.00000;1647.01750;1.87839;0.57456;-4.46540;1647.95843;0.48573;0.75822;-736217.00000;1643.41515;61.63383;0.14621;2.23803;11.40520
XAUUSD_15;2022.11.01 18:15;1650.94800;1651.12800;1648.26000;1648.84400;1646.13700;1644.45600;1645.68600;1.64563;2122282.71694;-1.03895;2.41686;0.72664;3.59464;0.80089;273.27354;1651.12800;1647.03250;2.88531;0.45683;2.95025;1647.76874;0.76199;0.77255;-737211.00000;1643.72246;54.13472;0.21052;2.16000;-5.59916
XAUUSD_15;2022.11.01 18:30;1648.86300;1649.85900;1648.45800;1649.08800;1646.54600;1645.96800;1645.36000;1.50488;2122192.13879;-0.47952;2.33171;0.70255;2.10355;0.80089;273.11538;0.00000;1647.03250;1.55667;0.55204;3.03014;1647.47238;0.77763;0.75446;-736311.00000;1644.16680;54.83367;0.23127;2.20784;-11.96384
XAUUSD_15;2022.11.01 18:45;1649.06300;1649.85900;1648.14300;1649.78700;1647.18000;1644.57700;1645.27000;1.23711;2123079.82410;-0.01538;2.30243;0.09733;1.81333;0.80819;462.51115;0.00000;1647.46850;1.77090;0.36393;6.81147;1647.24489;0.75695;0.74217;-735342.00000;1644.58447;56.86182;0.22566;2.08257;-12.18342
XAUUSD_15;2022.11.01 19:00;1649.75900;1649.75900;1647.01700;1647.09600;1649.15400;1644.67800;1645.14300;0.78908;2122254.30113;0.14432;2.25264;-0.89300;1.84900;0.76868;177.89538;0.00000;1648.04400;3.13014;-0.07423;2.47762;1647.12986;0.74232;0.49088;-736218.00000;1644.97708;47.93739;0.20795;1.76054;-15.12306
XAUUSD_15;2022.11.01 19:15;1647.07700;1647.44000;1646.57300;1647.17200;1650.91000;1645.00600;1643.58200;0.00821;2122541.77863;-0.33712;2.17007;-1.23157;-0.36457;0.59927;69.73938;0.00000;1648.52000;1.15139;0.06348;2.79386;1647.08633;0.49039;0.28530;-735465.00000;1645.34614;48.18474;0.19064;1.52111;-16.02186
XAUUSD_15;2022.11.01 19:30;1647.17700;1647.85900;1646.81300;1647.71500;1648.84400;1646.13700;1644.45600;-0.39264;2123089.62567;-0.66272;1.77107;-0.97878;0.06722;0.61479;182.48677;0.00000;1648.75850;1.38360;0.06136;-5.74544;1647.08307;0.28615;0.15394;-734709.00000;1645.69305;50.01205;0.14967;1.42756;-13.51341
XAUUSD_15;2022.11.01 19:45;1647.68200;1648.45400;1647.36100;1648.22200;1649.08800;1646.54600;1645.96800;-0.42284;2123555.76474;-0.74627;1.69164;-0.49224;0.60076;0.72746;220.81846;1648.45400;1648.85050;1.34938;0.02156;10.99893;1647.15918;0.15281;0.08048;-733899.00000;1646.01914;51.72395;0.11176;1.34026;6.01331
XAUUSD_15;2022.11.01 20:00;1648.19200;1648.42400;1646.86300;1646.92800;1649.78700;1647.18000;1644.57700;-0.34334;2123023.15039;-0.82963;1.66329;-0.85806;0.70294;0.68295;85.89862;0.00000;1648.85050;2.68675;-0.05272;4.35361;1647.38494;0.07828;-0.06149;-734480.00000;1646.32568;47.27407;0.08474;1.44161;6.26214
